Pertanyaan,Jawaban
 Pada tanggal 22 Juni 2009 telah disahkan Undang-undang Nomor 22 tahun 2009 tentang Lalu Lintas dan Angkutan Jalan. Apa yang dimaksud dengan Lalu Lintas dan Angkutan Jalan menurut undang-undang nomor 22 tahun 2009 tersebut ?, Lalu lintas dan Angkutan Jalan adalah satu kesatuan system yang terdiri atas Lalu Lintas 
 Lalu Lintas dan Angkutan Jalan diselenggarakan dengan memperhatikan asas transparan Disamping itu masih ada 5 asas lainnya, 1. asas manfaat 2. asas efisien dan aktif 3. asas seimbang 4. asas terpadu dan 5. asas mandiri 
 Dalam penyelenggaraan Lalu Lintas dan Angkutan Jalan terdapat tiga tujuan Sebutkan dua tujuan tujuan penyelenggaraan lalu lintas dan angkutan jalan lainnya?, a. terwujudnya etika berlalu lintas dan budaya bangsa dan b. terwujudnya penegakan hukum dan kepastian hukum bagi masyarakat. 
 Undang-Undang lalu lintas dan angkutan jalan berlaku untuk membina dan menyelenggarakan Lalu Lintas dan Angkutan Jalan yang aman Disamping itu masih ada kegiatan lainnya, Kegiatan yang berkaitan dengan registrasi dan identifikasi Kendaraan Bermotor dan Pengemudi 
 Negara bertanggung jawab atas Lalu Lintas dan Angkutan Jalan dan pembinaannya dilaksanakan oleh Pemerintah. Pembinaan Lalu Lintas dan Angkutan Jalan yang dilakukan Pemerintah meliputi apa saja ?, a. Perencanaan b. Pengaturan c. Pengendalian  d. Pengawasan. 
 Penyelenggaraan Lalu Lintas dan Angkutan Jalan dilaksanakan oleh instansi pembina sesuai dengan tugas pokok dan fungsinya. Sebutkan di bidang apa sajakah urusan yang ditangani oleh pemerintah dalam hal penyelenggaraan lalu lintas dan angkutan jalan ?, a. Di bidang jalan b. Di bidang sarana dan prasarana Lalu Lintas dan Angkutan Jalan c. Di bidang pengembangan industri Lalu lintas dan Angkutan Jalan d. Di bidang pengembangan teknologi Lalu lintas dan Angkutan jalan e. Di bidang Registrasi dan Identifikasi Kendaraan Bermotor dan pengemudi 
 Penyelenggaraan Lalu Lintas dan Angkutan Jalan dalam kegiatan pelayanan langsung kepada masyarakat dilakukan oleh Pemerintah Sedangkan untuk urusan pemerintahan di bidang sarana dan Prasarana Lalu Lintas dan Angkutan Jalan dilaksanakan oleh siapa?,  Kementerian negara yang bertanggung jawab di bidang sarana dan Prasarana Lalu Lintas dan Angkutan Jalan. 
 Dalam melaksanakan pembinaan Lalu Lintas dan Angkutan Jalan Urusan pemerintah provinsi dalam melakukan pembinaan Lalu Lintas dan angkutan jalan meliputi apa saja?," a. penetapan sasaran dan arah kebijakan sistem Lalu Lintas dan Angkutan Jalan provinsi dan kabupaten/kota yang jaringannya melampaui batas wilayah kabupaten/kota b. pemberian bimbingan, pelatihan, sertifikasi, dan izin kepada perusahaan angkutan umum di provinsi dan c. pengawasan terhadap pelaksanaan Lalu Lintas dan Angkutan Jalan provinsi. "
 Urusan pemerintahan di bidang pengembangan industri Lalu Lintas dan Angkutan Jalan dilaksanakan oleh kementerian negara yang bertanggung jawab di bidang industri sedangkan urusan pemerintahan di bidang pengembangan teknologi Lalu Lintas dan Angkutan Jalan dilaksanakan oleh kementerian negara yang bertanggung jawab di bidang pengembangan teknologi. Untuk urusan pemerintahan di bidang Registrasi dan Identifikasi Kendaraan Bermotor dan Pengemudi, Kepolisian Negara Republik Indonesia. 
" Penyelenggaraan di bidang Registrasi dan Identifikasi Kendaraan Bermotor dan Pengemudi a. pengujian dan penerbitan Surat Izin Mengemudi Kendaraan Bermotor  b. pelaksanaan registrasi dan identifikasi Kendaraan Bermotor c. pengumpulan, pemantauan, pengolahan, dan penyajian data Lalu Lintas dan Angkutan Jalan d. pengelolaan pusat pengendalian Sistem Informasi dan Komunikasi Lalu Lintas dan Angkutan Jalan e. pengaturan, penjagaan, pengawalan, dan patroli Lalu Lintas f. penegakan	hukum	yang	meliputi	penindakan	pelanggaran	dan	penanganan Kecelakaan Lalu Lintas. Disamping itu masih terdapat 3 hal lainnya yang menjadi tugas Kepolisian Negera Republik Indonesia", a. pendidikan berlalu lintas b. pelaksanaan Manajemen dan Rekayasa Lalu Lintas dan c. pelaksanaan manajemen operasional Lalu Lintas. 
